source,target,weight
tvahaber,tvahaber,1.0
tvahaber,stargazete,0.4539490901477747
tvahaber,SHaberTV,0.22442763093249485
tvahaber,AkitGazetem,0.6195877736343637
tvahaber,Haber7,0.5188644677643158
tvahaber,Haberturk,0.3336844244515748
tvahaber,Vatan,0.4461661412778049
tvahaber,cnnturk,0.23140943217036844
tvahaber,AydinlikGazete,0.1495991800086833
tvahaber,yenisafak,0.51523997820651
tvahaber,Halk_TV,0.040752544147306516
tvahaber,Aksam,0.27155513648534
tvahaber,cumhuriyetgzt,0.09385333333333333
tvahaber,medyatavacom,0.13083086675060307
tvahaber,Hurriyet,0.21219842966518024
tvahaber,Sabah,0.56778077844522
tvahaber,trthaber,0.7051010478018048
tvahaber,bugun,0.21968220369421443
tvahaber,ulusalkanalcom,0.09861789496787973
tvahaber,ozgurgundemweb,0.08546987567348642
tvahaber,milligazetecom,0.2390553105370678
tvahaber,imc_televizyonu,0.07058719428025342
tvahaber,bbcturkce,0.28330512879637626
tvahaber,zamancomtr,0.2599279318713873
tvahaber,turkiyegazetesi,0.33619953947474357
tvahaber,BirGun_Gazetesi,0.10506138979070906
tvahaber,Taraf_Medya,0.12427819115910839
tvahaber,zaytung,0.06879106105077208
tvahaber,postacomtr,0.24212437261951375
tvahaber,milliyet,0.35901770046390924
tvahaber,t24comtr,0.13010514914932983
tvahaber,ihacomtr,0.5669945170068528
tvahaber,radikal,0.2330997502628298
tvahaber,HaberMynet,0.3185647484373975
tvahaber,dhainternet,0.30772778257624017
tvahaber,Cihan_Haber,0.31137808800597183
tvahaber,evrenselgzt,0.12503318626025614
tvahaber,ntv,0.14048204354572066
tvahaber,yurtgazetesi,0.18336787454819384
tvahaber,SozcuGazetesi,0.07273975572739756
stargazete,tvahaber,0.4539490901477747
stargazete,stargazete,1.0
stargazete,SHaberTV,0.1848917025786437
stargazete,AkitGazetem,0.5081134636688459
stargazete,Haber7,0.42732958808032523
stargazete,Haberturk,0.4972957412286058
stargazete,Vatan,0.4545220441326644
stargazete,cnnturk,0.40100232042849415
stargazete,AydinlikGazete,0.14913815868980426
stargazete,yenisafak,0.465348112935959
stargazete,Halk_TV,0.03474820254645667
stargazete,Aksam,0.4460829144600493
stargazete,cumhuriyetgzt,0.09457333333333333
stargazete,medyatavacom,0.2341081180103634
stargazete,Hurriyet,0.3980886996877017
stargazete,Sabah,0.7422688731091998
stargazete,trthaber,0.5253480642741246
stargazete,bugun,0.20976663330348205
stargazete,ulusalkanalcom,0.09119796631712743
stargazete,ozgurgundemweb,0.08896770947115208
stargazete,milligazetecom,0.2269889455295263
stargazete,imc_televizyonu,0.07147205606484267
stargazete,bbcturkce,0.4731166146169548
stargazete,zamancomtr,0.435200289617391
stargazete,turkiyegazetesi,0.31455807287892695
stargazete,BirGun_Gazetesi,0.10723130380222172
stargazete,Taraf_Medya,0.41132568336598563
stargazete,zaytung,0.09883411553291345
stargazete,postacomtr,0.23520093973587727
stargazete,milliyet,0.5544995376589843
stargazete,t24comtr,0.25502053341757297
stargazete,ihacomtr,0.4458089532233298
stargazete,radikal,0.25319058917947557
stargazete,HaberMynet,0.2507285897688192
stargazete,dhainternet,0.27666748085210324
stargazete,Cihan_Haber,0.2838424900116894
stargazete,evrenselgzt,0.12928102757304138
stargazete,ntv,0.2461660589353944
stargazete,yurtgazetesi,0.18083563804579245
stargazete,SozcuGazetesi,0.07339018573390185
SHaberTV,tvahaber,0.22442763093249485
SHaberTV,stargazete,0.1848917025786437
SHaberTV,SHaberTV,1.0
SHaberTV,AkitGazetem,0.1893011499274469
SHaberTV,Haber7,0.2579345583177754
SHaberTV,Haberturk,0.171530575480659
SHaberTV,Vatan,0.30197575811392796
SHaberTV,cnnturk,0.11613722820365249
SHaberTV,AydinlikGazete,0.15090167713289498
SHaberTV,yenisafak,0.1909119243223438
SHaberTV,Halk_TV,0.04558680892337536
SHaberTV,Aksam,0.120956897998152
SHaberTV,cumhuriyetgzt,0.08212
SHaberTV,medyatavacom,0.10449098574282813
SHaberTV,Hurriyet,0.11087325762573871
SHaberTV,Sabah,0.23908018547892773
SHaberTV,trthaber,0.3628653780466692
SHaberTV,bugun,0.5210906409083725
SHaberTV,ulusalkanalcom,0.09701270069023354
SHaberTV,ozgurgundemweb,0.07151535978595712
SHaberTV,milligazetecom,0.25324092636080725
SHaberTV,imc_televizyonu,0.05788411850069019
SHaberTV,bbcturkce,0.2344829845075497
SHaberTV,zamancomtr,0.7834262131697525
SHaberTV,turkiyegazetesi,0.13050094198347906
SHaberTV,BirGun_Gazetesi,0.11702800211049687
SHaberTV,Taraf_Medya,0.2434735612882056
SHaberTV,zaytung,0.06660443483672333
SHaberTV,postacomtr,0.15660484818282133
SHaberTV,milliyet,0.24680769428730517
SHaberTV,t24comtr,0.17096138514072537
SHaberTV,ihacomtr,0.31924350160365583
SHaberTV,radikal,0.22513183321869576
SHaberTV,HaberMynet,0.2067508176135991
SHaberTV,dhainternet,0.25603484982476826
SHaberTV,Cihan_Haber,0.6272149618420622
SHaberTV,evrenselgzt,0.12177145096651032
SHaberTV,ntv,0.05210862963638831
