Media,Total,AK PARTY,CHP,MHP,BDP HADEP,HIZMET
Haberturk,117.8120872,34.74186403,25.53392979,22.08083137,19.52896117,15.92650085
Hurriyet,104.6383675,23.74765718,31.19952344,21.34836683,16.94939477,11.39342531
Vatan,56.72049876,6.123338091,23.55742507,7.434838128,4.265004131,15.33989334
trthaber,87.53832475,36.96825126,10.04166046,13.60822442,6.946965258,19.97322335
HaberMynet,36.80407992,5.547509513,11.36532738,5.173611111,3.068326354,11.64930556
zamancomtr,122.4800671,37.44817402,9.835458361,11.3039356,9.457933774,54.43456536
AkitGazetem,50.48647265,18.6267816,5.927285141,3.034053085,2.133651959,20.76470086
turkiyegazetesi,18.24228318,5.293349236,3.190947207,1.828858672,1.098995327,6.830132734
dhainternet,67.4361594,15.18288181,14.95515828,9.728393226,12.00605948,15.5636666
Halk_TV,29.92284176,0.751201048,21.49512302,2.684524676,1.853253749,3.138739263
bbcturkce,102.2110499,21.05270631,25.8134482,15.25255154,29.54854015,10.54380373
Tarafinternet,74.91286559,6.349446886,11.43355054,5.356872253,8.357326868,43.41566904
postacomtr,31.24045996,3.007021471,12.67426478,3.981377837,2.80350056,8.774295309
Sabah,62.76808143,23.2151985,8.931842709,9.55550185,6.904091578,14.16144679
radikal,86.33089928,14.33804737,18.076669,9.359372386,36.81134152,7.745469005
milliyet,86.1240714,19.6597944,24.70759397,16.61430351,15.97473311,9.16764641
emekevrenseldir,61.07854107,2.804505109,21.21876632,3.192362199,24.53196092,9.33094652
ihacomtr,71.12462924,19.37013688,12.16110892,7.422245357,4.870450031,27.30068805
aksam_gazetesi,67.97143738,11.78563803,19.23706498,8.673166797,4.125447774,24.1501198
tvahaber,66.43872824,21.49145226,10.66889268,6.947258835,4.506023752,22.82510071
SozcuGazetesi,48.21746294,1.766062603,31.80230643,5.50247117,2.405271829,6.741350906
yurtgazetesi,65.14035264,3.232364009,39.56834532,6.355156356,5.968772077,10.01571488
medyatavacom,53.28561427,11.559323,15.16998308,7.46779201,12.08466123,7.003854949
Cihan_Haber,99.73971231,30.43675811,8.910603752,10.65884628,9.315021508,40.41848266
zaytung,86.9625167,14.89606407,23.45816198,11.72779833,27.66209824,9.218394077
stargazete,66.47142331,20.36547964,11.39301231,5.439571676,4.360253241,24.91310644
ntv,73.7376974,20.02612597,16.6607479,14.93744307,12.06465351,10.04872695
t24comtr,63.47674167,6.358266599,19.17223966,3.903371093,19.51895731,14.52390701
ulusalkanal,50.94040058,5.680979156,24.20671012,8.888103958,6.922670173,5.241937174
bugun,81.89346335,12.36582041,9.029074134,4.9211458,2.615294471,52.96212853
Haber7,77.61565724,32.01567558,7.72985547,8.025506126,5.009074929,24.83554513
BirGun_Gazetesi,65.09161605,4.865962401,19.73606937,3.814764552,28.75966444,7.915155284
cnnturkcom,119.9336965,27.7474868,29.2085276,20.94774219,28.21945608,13.81048387
yenisafak,72.81711924,21.67319816,11.12905549,5.647334746,4.350249382,30.01728146
milligazetecom,40.39471764,8.321173209,7.923537137,4.633007442,2.604698672,16.91230118
